gene_id	accession	gene_name	description	function
ACON2_040720	XM_049608853.1	LOC120959683	peptide methionine sulfoxide reductase-like	peptide methionine sulfoxide reductase-like|Peptide-methionine (S)-S-oxide reductase
ACON2_040731	XM_040369423.2	LOC120950971	serine/threonine-protein kinase 32A	serine/threonine-protein kinase 32A|Protein kinase domain-containing protein
ACON2_040736	XM_040364668.2	LOC120948399	uncharacterized LOC120948399	uncharacterized protein LOC120948399|Protein sleepless
ACON2_040778	XR_007452146.1	LOC125906798	uncharacterized LOC125906798	
ACON2_040792	XM_049607527.1	LOC125906852	nuclear transcription factor Y subunit beta-like	nuclear transcription factor Y subunit beta-like
ACON2_040812	XM_040371086.2	mRpS18A	mitochondrial ribosomal protein S18A	28S ribosomal protein S18a, mitochondrial
ACON2_040836	XM_040382151.2	LOC120959026	transcriptional regulator ovo-like	transcriptional regulator ovo-like
ACON2_040837	XM_040380036.2	LOC120957704	myotubularin-related protein DDB_G0290005	myotubularin-related protein DDB_G0290005|Trichohyalin
ACON2_040839	XM_040370312.2	LOC120951534	platelet glycoprotein V-like	platelet glycoprotein V-like|LRRCT domain-containing protein
ACON2_040896	XM_040368687.2	LOC120950559	L-lactate dehydrogenase	L-lactate dehydrogenase
ACON2_040938	XM_040363150.2	LOC120947649	proton-coupled folate transporter-like	proton-coupled folate transporter-like|MFS domain-containing protein
ACON2_040940	XM_040373282.2	LOC120953396	uncharacterized LOC120953396	uncharacterized protein LOC120953396|C2H2-type domain-containing protein
ACON2_040965	XM_040371519.2	LOC120952275	sialin-like	sialin-like|MFS domain-containing protein
ACON2_040990	XM_040372708.2	LOC120953043	probable WRKY transcription factor protein 1	probable WRKY transcription factor protein 1|THAP-type domain-containing protein
ACON2_041012	XM_040377294.2	Trim9	E3 ubiquitin-protein ligase Trim9	E3 ubiquitin-protein ligase TRIM9|RING-type E3 ubiquitin transferase
ACON2_041042	XM_040367258.2	Dll	homeotic protein distal-less	homeotic protein distal-less
ACON2_041116	XM_040369882.2	Orco	odorant receptor co-receptor	odorant receptor coreceptor|Odorant receptor obligate co-receptor (Orco)
ACON2_041136	XM_040367349.2	LOC120949817	protein lethal(2)essential for life-like	protein lethal(2)essential for life-like|SHSP domain-containing protein
ACON2_041153	XM_040362631.2	LOC120947373	mitochondrial import inner membrane translocase subunit TIM14	mitochondrial import inner membrane translocase subunit TIM14|J domain-containing protein
ACON2_041161	XM_049605249.1	LOC125906443	uncharacterized protein K02A2.6-like	uncharacterized protein K02A2.6-like
ACON2_041191	XM_040371030.2	LOC120951989	G2/mitotic-specific cyclin-B-like	G2/mitotic-specific cyclin-B-like|Cyclin N-terminal domain-containing protein
ACON2_041204	XM_040368979.2	Mlc1	Myosin light chain alkali	myosin light chain alkali
ACON2_041211	XM_040379233.2	LOC120957176	toll-like receptor Tollo	toll-like receptor Tollo
ACON2_041220	XM_040371769.2	LOC120952438	uncharacterized LOC120952438	uncharacterized protein LOC120952438|PHD domain-containing protein
ACON2_041234	XM_040384266.2	LOC120960216	phenoloxidase-activating factor 2-like	phenoloxidase-activating factor 2-like|Peptidase S1 domain-containing protein
ACON2_041239	XR_005752316.2	LOC120960261	U11 spliceosomal RNA	
ACON2_041270	XM_040371471.2	nerfin-1	nervous fingers 1	protein glass|C2H2-type domain-containing protein
ACON2_041285	XM_049608594.1	LOC120961035	nuclear factor of activated T-cells 5-like	nuclear factor of activated T-cells 5-like|uncharacterized protein LOC120961035
ACON2_041292	XM_040365903.2	Achl	La ribonucleoprotein translational regulator Achilles	uncharacterized protein LOC120948988
ACON2_041304	XM_040368299.2	LOC120950334	ankyrin repeat domain-containing protein 12	ankyrin repeat domain-containing protein 12|ANK_REP_REGION domain-containing protein
ACON2_041308	XM_040381358.2	LOC120958509	MOXD1 homolog 1	MOXD1 homolog 1
ACON2_041328	XM_040380686.2	LOC120958112	sterol O-acyltransferase 1-like	sterol O-acyltransferase 1-like
ACON2_041336	XM_040382505.2	brat	tripartite motif-containing protein brain tumor	brain tumor protein|B box-type domain-containing protein
ACON2_041351	XM_049609524.1	LOC120959834	uncharacterized LOC120959834	uncharacterized protein LOC120959834
ACON2_041362	XM_040378008.2	Ets98B	DNA-binding protein Ets98B	DNA-binding protein D-ETS-4|ETS domain-containing protein
ACON2_041383	XM_040374392.2	RecQ4	RecQ4 helicase	uncharacterized protein LOC120953944
ACON2_041391	XM_040375584.2	LOC120955079	anillin-like	anillin-like
ACON2_041446	XM_040374493.2	LOC120954002	cysteine sulfinic acid decarboxylase	cysteine sulfinic acid decarboxylase
ACON2_041460	XM_049610058.1	LOC120959774	uncharacterized LOC120959774	uncharacterized protein LOC120959774
ACON2_041512	XM_040384200.2	LOC120960181	histone H1.0-like	histone H1.0-like
ACON2_041535	XM_040366889.2	TpnT	Troponin T, skeletal muscle	troponin T, skeletal muscle
ACON2_041551	XM_040365432.2	smg	sterile alpha motif domain containing protein 4 smaug	protein Smaug
ACON2_041602	XM_040378534.2	POSH	SH3 domain containing ring finger posh	E3 ubiquitin-protein ligase SH3RF3|Plenty of SH3s|RING-type E3 ubiquitin transferase
ACON2_041643	XM_049609153.1	LOC125906403	uncharacterized LOC125906403	uncharacterized protein LOC125906403
ACON2_041675	XR_005751126.2	LOC120950395	uncharacterized LOC120950395	
ACON2_041687	XM_040371473.2	LOC120952244	histidine--tRNA ligase, cytoplasmic-like	histidine--tRNA ligase, cytoplasmic-like
ACON2_041713	XM_040376351.2	LOC120955461	larval cuticle protein A2B-like	larval cuticle protein A2B-like
ACON2_041729	XM_049609633.1	LOC125907441	histone H2B	histone H2B
ACON2_041774	XM_040379840.2	LOC120957568	pacifastin-like protease inhibitor cvp4	pacifastin-like protease inhibitor cvp4|Pacifastin domain-containing protein
ACON2_041838	XM_040364098.2	LOC120948104	aminopeptidase N-like	aminopeptidase N-like
ACON2_041840	XM_049607200.1	LOC120948527	uncharacterized LOC120948527	uncharacterized protein LOC120948527
ACON2_041842	XM_040373056.2	LOC120953262	mitochondrial-processing peptidase subunit beta-like	mitochondrial-processing peptidase subunit beta-like
ACON2_041866	XM_040367232.2	LOC120949744	uncharacterized LOC120949744	uncharacterized protein LOC120949744
ACON2_041901	XM_040382557.2	LOC120959278	hexamerin-1.1-like	hexamerin-1.1-like|Hexamerin A
ACON2_041907	XM_049609763.1	LOC120959399	mucin-5AC-like	mucin-5AC-like
ACON2_041911	XM_049610413.1	LOC120957004	uncharacterized LOC120957004	uncharacterized protein LOC120957004|Endonuclease_NS domain-containing protein
ACON2_041929	XM_040380035.2	LOC120957701	mucin-2-like	mucin-2-like|Chitin-binding type-2 domain-containing protein
ACON2_041938	XM_040381083.2	eya	eya transcriptional coactivator and phosphatase 2	developmental protein eyes absent
ACON2_041952	XM_040373359.2	LOC120953446	uncharacterized LOC120953446	uncharacterized protein LOC120953446
ACON2_041956	XM_049610529.1	LOC120956615	kynurenine formamidase	kynurenine formamidase
ACON2_041961	XM_049608888.1	LOC125907302	uncharacterized LOC125907302	uncharacterized protein LOC125907302
ACON2_041963	XM_040378125.2	Mhc	myosin heavy chain	myosin heavy chain, muscle
ACON2_041967	XM_040364979.2	LOC120948540	uncharacterized LOC120948540	uncharacterized protein LOC120948540|Transmembrane protein 192
ACON2_042011	XM_040373760.2	LOC120953630	transferrin	transferrin
ACON2_042015	XM_040377681.2	LOC120956299	uncharacterized LOC120956299	uncharacterized protein LOC120956299
ACON2_042066	XM_040371708.2	LOC120952400	protein obstructor-E-like	protein obstructor-E-like|Peritrophin-1
ACON2_042077	XM_049606866.1	LOC125906719	uncharacterized protein K02A2.6-like	uncharacterized protein K02A2.6-like
ACON2_042140	XR_005751096.2	LOC120950061	uncharacterized LOC120950061	
ACON2_042244	XM_040378064.2	sloth2	ubiquinol-cytochrome c reductase complex assembly factor 6 sloth 2	protein BRAWNIN
ACON2_042245	XM_040365053.2	Axn	protein axin	axin
ACON2_042333	XM_049605473.1	LOC120948204	DE-cadherin-like	DE-cadherin-like
ACON2_042347	XM_040368285.2	LOC120950326	probable cytochrome P450 6a14	probable cytochrome P450 6a14|Cytochrome P450
ACON2_042351	XM_049607989.1	LOC125906921	uncharacterized LOC125906921	uncharacterized protein LOC125906921
ACON2_042376	XM_040373270.2	LOC120953388	juvenile hormone esterase-like	juvenile hormone esterase-like
ACON2_042387	XM_040382790.2	LOC120959420	microfibril-associated glycoprotein 4-like	microfibril-associated glycoprotein 4-like|Fibrinogen C-terminal domain-containing protein
ACON2_042390	XM_040385031.2	LOC120961324	uncharacterized LOC120961324	uncharacterized protein LOC120961324
ACON2_042438	XM_049605183.1	LOC125906426	uncharacterized LOC125906426	uncharacterized protein LOC125906426
ACON2_042449	XM_040379821.2	LOC120957556	ornithine decarboxylase 2-like	ornithine decarboxylase 2-like|Orn_Arg_deC_N domain-containing protein
ACON2_042458	XM_040379417.2	bora	aurora kinase A activator-like protein bora	protein aurora borealis
ACON2_042466	XM_049609067.1	Klp54D	Kinesin-like protein at 54D	kinesin-like protein KIF12|kinesin-like protein Klp68D
ACON2_042467	XM_040374012.2	LOC120953767	cuticle protein-like	cuticle protein-like
ACON2_042508	XM_040372027.2	fest	wurstfest	uncharacterized protein LOC120952605
ACON2_042520	XM_049608940.1	LOC120956172	uncharacterized LOC120956172	uncharacterized protein LOC120956172
ACON2_042521	XM_040378536.2	LOC120956799	uncharacterized LOC120956799	uncharacterized protein LOC120956799
ACON2_042568	XR_007452604.1	LOC120955782	uncharacterized LOC120955782	
ACON2_042603	XM_040371794.2	LOC120952464	serine protease snake-like	serine protease snake-like
ACON2_042620	XR_007453002.1	LOC125907856	large subunit ribosomal RNA	
ACON2_042678	XM_040381434.2	LOC120958552	uncharacterized LOC120958552	uncharacterized protein LOC120958552|NACHT domain-containing protein
ACON2_042698	XM_040370447.2	LOC120951640	E3 ubiquitin-protein ligase RFWD3	E3 ubiquitin-protein ligase RFWD3|RING-type domain-containing protein
ACON2_042707	XM_049605684.1	LOC125906530	delta-like protein A	delta-like protein A|EGF-like domain-containing protein
ACON2_042722	XM_040365606.2	LOC120948842	uncharacterized LOC120948842	uncharacterized protein LOC120948842
ACON2_042728	XM_049609509.1	LOC120956325	uncharacterized LOC120956325	uncharacterized protein LOC120956325
ACON2_042783	XM_040365224.2	LOC120948643	probable multidrug resistance-associated protein lethal(2)03659	probable multidrug resistance-associated protein lethal(2)03659
ACON2_042814	XM_040375121.2	LOC120954856	myosin-1-like	myosin-1-like|Calponin-homology (CH) domain-containing protein
ACON2_042835	XM_040377675.2	LOC120956293	oxidative stress-induced growth inhibitor 2-like	oxidative stress-induced growth inhibitor 2-like|FAD/NAD(P)-binding domain-containing protein
ACON2_042892	XM_040373236.2	Msh6	DNA mismatch repair protein Msh6	probable DNA mismatch repair protein Msh6
ACON2_042900	XM_040382835.2	LOC120959449	clavesin-1-like	clavesin-1-like
ACON2_042914	XM_040371434.2	LOC120952220	uncharacterized LOC120952220	uncharacterized protein LOC120952220
ACON2_042924	XM_040375771.2	LOC120955179	phospholipid-transporting ATPase ABCA3-like	phospholipid-transporting ATPase ABCA3-like
ACON2_042936	XR_005752281.2	LOC120959997	uncharacterized LOC120959997	
ACON2_042964	XM_040376344.2	LOC120955455	uncharacterized LOC120955455	uncharacterized protein LOC120955455
ACON2_043038	XM_040383445.2	LOC120959799	uncharacterized LOC120959799	uncharacterized protein LOC120959799
ACON2_043050	XM_049605116.1	LOC120948856	uncharacterized LOC120948856	uncharacterized protein LOC120948856|G_PROTEIN_RECEP_F1_2 domain-containing protein
ACON2_043066	XM_040385044.2	LOC120961332	nose resistant to fluoxetine protein 6-like	nose resistant to fluoxetine protein 6-like
ACON2_043118	XM_040362686.2	Mmp1	Matrix metalloproteinase 1	matrix metalloproteinase-14|ZnMc domain-containing protein|stromelysin-3
ACON2_043171	XM_040374585.2	LOC120954035	flexible cuticle protein 12-like	flexible cuticle protein 12-like|Larval cuticle protein 8
ACON2_043177	XM_049605289.1	LOC120949795	uncharacterized LOC120949795	uncharacterized protein LOC120949795|BAR domain-containing protein
ACON2_043207	XM_040363048.2	LOC120947593	probable salivary secreted peptide	probable salivary secreted peptide|Salivary secreted peptide
ACON2_043218	XM_040367497.2	LOC120949903	uncharacterized LOC120949903	uncharacterized protein LOC120949903|MARVEL domain-containing protein
ACON2_043241	XM_049605562.1	LOC120953212	O-acyltransferase like protein-like	O-acyltransferase like protein-like|Acyl_transf_3 domain-containing protein|uncharacterized protein LOC120953212
ACON2_043248	XM_040369988.2	LOC120951330	ras-like protein family member 10B	ras-like protein family member 10B
ACON2_043273	XM_040378880.2	Ir76b	Ionotropic receptor 76b	glutamate receptor ionotropic, delta-1|Ionotropic receptor coreceptor Ir76b|PBPe domain-containing protein
ACON2_043295	XM_040380795.2	LOC120958181	uncharacterized LOC120958181	uncharacterized protein LOC120958181
ACON2_043310	XM_040374582.2	LOC120954033	ceramide-1-phosphate transfer protein	ceramide-1-phosphate transfer protein|GLTP domain-containing protein
ACON2_043334	XM_040383217.2	LOC120959648	uncharacterized LOC120959648	uncharacterized protein LOC120959648|BESS domain-containing protein
ACON2_043372	ND4	ND4	NADH dehydrogenase subunit 4	mitochondrially encoded NADH dehydrogenase 4 (mitochondrial genome)
